date,daily_events
11/27/2024,29
11/28/2024,20
11/29/2024,25
11/30/2024,31
12/2/2024,31
12/3/2024,13
12/4/2024,10
12/5/2024,6
12/6/2024,39
12/7/2024,11
12/8/2024,31
12/9/2024,7
12/10/2024,39
12/11/2024,76
12/12/2024,30
12/13/2024,150
12/14/2024,15
12/16/2024,20
12/17/2024,30
12/19/2024,15
12/20/2024,26
12/21/2024,11
12/22/2024,2
12/23/2024,41
12/24/2024,50
12/26/2024,43
12/27/2024,24
12/28/2024,18
12/31/2024,21
1/1/2025,13
1/2/2025,22
1/3/2025,11
1/4/2025,11
1/5/2025,12
1/6/2025,23
1/7/2025,84
1/8/2025,36
1/9/2025,67
1/11/2025,64
1/14/2025,9
1/15/2025,18
1/16/2025,25
1/17/2025,48
1/18/2025,24
1/20/2025,29
1/21/2025,75
1/22/2025,92
1/23/2025,14
1/24/2025,10
1/25/2025,48
1/26/2025,41
1/27/2025,37
1/29/2025,50
1/30/2025,55
1/31/2025,16
2/1/2025,14
2/2/2025,3
2/3/2025,101
2/4/2025,28
2/6/2025,6
2/7/2025,14
2/8/2025,24
2/10/2025,20
2/11/2025,40
2/13/2025,29
2/14/2025,28
2/15/2025,2
2/18/2025,21
2/19/2025,17
2/20/2025,7
